source,device_id,date,events_raw,events_after_day_filter,total_events,bytes_total,bytes_per_event,unique_src_ip,unique_dst_ip,action_accept_count,action_accept_rate,action_deny_count,action_deny_rate,action_client-rst_count,action_client-rst_rate,action_server-rst_count,action_server-rst_rate,action_timeout_count,action_timeout_rate,action_passthrough_count,action_passthrough_rate
mac_windows,macsrvdc.mac.local,2025-09-21,68196.0,68196.0,68196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-22,68504.0,68504.0,68504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-23,68528.0,68528.0,68528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-24,68730.0,68730.0,68730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-25,68904.0,68904.0,68904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-26,68562.0,68562.0,68562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-27,68546.0,68546.0,68546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-28,68214.0,68214.0,68214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-29,68852.0,68852.0,68852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-09-30,68446.0,68446.0,68446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-01,68732.0,68732.0,68732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-02,68828.0,68828.0,68828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-03,68860.0,68860.0,68860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-04,68724.0,68724.0,68724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-05,68368.0,68368.0,68368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-06,68848.0,68848.0,68848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-07,68914.0,68914.0,68914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-08,68882.0,68882.0,68882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-09,69702.0,69702.0,69702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-10,68476.0,68476.0,68476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-11,68400.0,68400.0,68400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-12,68348.0,68348.0,68348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-13,69674.0,69674.0,69674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-14,68526.0,68526.0,68526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-15,69456.0,69456.0,69456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-16,68472.0,68472.0,68472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-17,68770.0,68770.0,68770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-18,68730.0,68730.0,68730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-19,102879.0,102879.0,102879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-20,102600.0,102600.0,102600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac_windows,macsrvdc.mac.local,2025-10-21,58479.0,58479.0,58479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
